States,ISO Codes,Latitude,Longitude,Code
Andaman and Nicobar Islands,IN-AN,11.66702557,92.73598262,AN
Andhra Pradesh,IN-AP,14.7504291,78.57002559,AP
Arunachal Pradesh,IN-AR,27.10039878,93.61660071,AR
Assam,IN-AS,26.7499809,94.21666744,AS
Bihar,IN-BR,25.78541445,87.4799727,BR
Chandigarh,IN-CH,30.71999697,76.78000565,CH
Chhattisgarh,IN-CT,22.09042035,82.15998734,CT
Dadra and Nagar Haveli,IN-DN,20.26657819,73.0166178,DN
Delhi,IN-DL,28.6699929,77.23000403,DL
Goa,IN-GA,15.491997,73.81800065,GA
Gujarat,IN-GJ,22.309425,72.13623,GJ
Haryana,IN-HR,28.45000633,77.01999101,HR
Himachal Pradesh,IN-HP,31.10002545,77.16659704,HP
Jammu and Kashmir,IN-JK,34.29995933,74.46665849,JK
Jharkhand,IN-JH,23.80039349,86.41998572,JH
Karnataka,IN-KA,12.57038129,76.91999711,KA
Kerala,IN-KL,8.900372741,76.56999263,KL
Lakshadweep,IN-LD,10.56257331,72.63686717,LD
Madhya Pradesh,IN-MP,21.30039105,76.13001949,MP
Maharashtra,IN-MH,19.25023195,73.16017493,MH
Manipur,IN-MN,24.79997072,93.95001705,MN
Meghalaya,IN-ML,25.57049217,91.8800142,ML
Mizoram,IN-MZ,23.71039899,92.72001461,MZ
Nagaland,IN-NL,25.6669979,94.11657019,NL
Orissa,IN-OR,19.82042971,85.90001746,OR
Puducherry,IN-PY,11.93499371,79.83000037,PY
Punjab,IN-PB,31.51997398,75.98000281,PB
Rajasthan,IN-RJ,26.44999921,74.63998124,RJ
Sikkim,IN-SK,27.3333303,88.6166475,SK
Tamil Nadu,IN-TN,12.92038576,79.15004187,TN
Tripura,IN-TR,23.83540428,91.27999914,TR
Uttar Pradesh,IN-UP,27.59998069,78.05000565,UP
Uttarakhand,IN-UT,30.32040895,78.05000565,UT
West Bengal,IN-WB,22.58039044,88.32994665,WB
